,Feature Number,X Disp,Y Disp,X Abs,Y Abs
195,195,77.78400421142578,35.72307586669922,4915.5524253845215,4319.813995361328
196,196,76.4992618560791,32.433509826660156,4837.886667251587,4190.313987731934
197,197,77.81304359436035,33.35315704345703,4888.903913497925,4234.8162841796875
198,198,72.27633476257324,31.0040283203125,4664.809885025024,4006.1666870117188
199,199,65.63884735107422,23.95214080810547,4198.832674026489,3219.3828201293945
200,200,66.45395278930664,25.262069702148438,4245.592174530029,3270.2447509765625
201,201,65.2386474609375,24.695587158203125,4185.909662246704,3253.356399536133
202,202,61.35329246520996,23.516769409179688,4020.043773651123,3185.0501251220703
203,203,67.3311710357666,26.639938354492188,4380.257320404053,3667.469825744629
204,204,62.116756439208984,23.290252685546875,4040.8387756347656,3178.8706970214844
205,205,64.98204231262207,24.290618896484375,4242.934169769287,3600.1841735839844
206,206,65.84750175476074,26.37439727783203,4286.219758987427,3605.612373352051
207,207,62.23268508911133,22.693138122558594,4096.527843475342,3425.6897735595703
208,208,64.18124198913574,23.547744750976562,4137.317705154419,3207.1138763427734
209,209,70.36783218383789,28.98754119873047,4567.925291061401,3860.176239013672
210,210,59.37609672546387,21.166610717773438,3908.537006378174,3101.6443634033203
211,211,60.612688064575195,21.874122619628906,3955.9168910980225,3129.99568939209
212,212,61.4421272277832,24.060020446777344,4035.935354232788,3240.139961242676
213,213,55.962767601013184,15.688362121582031,3804.2453241348267,3046.087188720703
214,214,58.951005935668945,20.32115936279297,3909.190092086792,3131.7070388793945
215,215,52.193827629089355,12.992897033691406,3631.6437292099,2850.61092376709
216,216,63.838090896606445,25.489501953125,4166.927719116211,3454.884796142578
217,217,72.49096870422363,29.40185546875,4648.650226593018,3949.8199462890625
218,218,72.1340274810791,34.766502380371094,4705.241260528564,4116.568374633789
219,219,70.26952743530273,31.575698852539062,4601.864175796509,3947.0599365234375
220,220,74.0207576751709,36.669883728027344,4806.350755691528,4269.861793518066
221,221,74.02396202087402,26.644973754882812,4665.302982330322,3910.6345748901367
222,222,73.25486183166504,26.36425018310547,4620.959129333496,3928.244972229004
223,223,72.52797603607178,25.467567443847656,4566.788878440857,3895.2439880371094
224,224,71.1615800857544,24.01836395263672,4492.200436592102,3831.4450454711914
225,225,69.61302280426025,22.50438690185547,4402.593140602112,3753.720474243164
226,226,66.43951892852783,17.095603942871094,4219.7816705703735,3500.3330993652344
227,227,54.77090835571289,9.702110290527344,3728.2356548309326,3054.5611572265625
228,228,66.93952560424805,18.02104949951172,4272.28497505188,3518.515510559082
229,229,68.13340187072754,19.9566650390625,4338.578367233276,3572.949867248535
230,230,69.76899147033691,21.619491577148438,4414.369525909424,3602.5135040283203
231,231,71.02789878845215,23.099746704101562,4480.192565917969,3634.62215423584
232,232,71.84123039245605,24.57958221435547,4539.033737182617,3687.7976989746094
233,233,72.59339332580566,25.594558715820312,4585.697908401489,3747.2744750976562
234,234,50.861592292785645,3.53515625,3493.358073234558,2732.4939727783203
235,235,69.85095977783203,30.650062561035156,4561.324195861816,3881.8824768066406
236,236,74.65773582458496,33.17615509033203,4779.591836929321,4168.95938873291
237,237,73.94173622131348,37.17517852783203,4794.428358078003,4245.866851806641
238,238,73.5677719116211,36.621665954589844,4739.479465484619,4179.26326751709
239,239,73.15750122070312,36.28131866455078,4739.89520072937,4172.825736999512
240,240,69.70813751220703,30.504417419433594,4539.7065353393555,3858.940887451172
241,241,74.10289764404297,37.218971252441406,4769.641427993774,4213.569107055664
242,242,73.2502269744873,36.003379821777344,4710.077791213989,4134.647903442383
243,243,72.41652488708496,25.07770538330078,4588.754196166992,3746.6445541381836
244,244,73.45396041870117,26.25751495361328,4632.199659347534,3809.8820877075195
245,245,74.35137748718262,27.26673126220703,4681.601257324219,3882.9211807250977
246,246,69.14946556091309,14.094505310058594,4381.47665977478,3539.3884658813477
247,247,69.46054458618164,19.367332458496094,4360.689296722412,3624.726791381836
248,248,78.18760871887207,35.956878662109375,4906.38147354126,4281.792984008789
249,249,77.0962142944336,25.26203155517578,4653.289918899536,3629.482879638672
250,250,75.34303665161133,37.05970764160156,4753.432388305664,4114.003372192383
251,251,77.76500701904297,25.43109893798828,4321.939258575439,3203.2654571533203
252,252,76.68986320495605,25.858612060546875,4632.424221038818,3671.2583923339844
253,253,76.56600952148438,26.075286865234375,4625.100059509277,3654.8930740356445
254,254,76.76424980163574,27.057151794433594,4612.7949142456055,3644.167251586914
255,255,76.80167198181152,26.0589599609375,4592.964878082275,3578.2566452026367
256,256,77.02651977539062,26.84711456298828,4650.567827224731,3711.5474700927734
257,257,79.12339210510254,30.5950927734375,4749.095649719238,3885.329132080078
258,258,79.36111450195312,30.025405883789062,4750.519437789917,3894.05818939209
259,259,78.66937637329102,30.545387268066406,4728.669176101685,3841.96044921875
260,260,78.35420608520508,29.671249389648438,4694.740219116211,3775.941696166992
261,261,76.75400733947754,28.411178588867188,4505.1744747161865,3522.5474166870117
262,262,65.5118465423584,24.45392608642578,4146.876010894775,3102.1718215942383
263,263,77.4184799194336,23.945159912109375,4644.350967407227,3596.51424407959
264,264,74.77334976196289,26.234703063964844,4186.410484313965,3100.0542068481445
265,265,77.21365928649902,29.19170379638672,4448.98398399353,3470.9067153930664
266,266,74.61001396179199,33.09120178222656,4558.859596252441,3703.833885192871
267,267,72.48913764953613,33.85662078857422,4551.466684341431,3771.118049621582
268,268,71.3576889038086,32.24720001220703,4488.137283325195,3634.2993545532227
269,269,71.00086212158203,33.50170135498047,4461.055555343628,3644.4184494018555
270,270,69.4625186920166,33.494873046875,4378.311338424683,3517.19482421875
271,271,70.39669990539551,32.65083312988281,4425.955638885498,3569.2372131347656
272,272,69.15060997009277,33.09825897216797,4358.743085861206,3492.8773880004883
273,273,66.54753684997559,31.09760284423828,4224.45276260376,3236.555290222168
274,274,76.70491218566895,39.25559997558594,4892.059764862061,4317.841873168945
275,275,77.92625427246094,39.739952087402344,4948.266363143921,4392.763328552246
276,276,80.0009822845459,32.82386779785156,4703.246383666992,3846.1407470703125
277,277,76.03817939758301,30.455169677734375,4642.282962799072,3783.776741027832
278,278,76.55267715454102,35.43556213378906,4708.169231414795,3934.1207885742188
279,279,76.38104438781738,34.82246398925781,4683.349027633667,3901.1676025390625
280,280,74.27021026611328,32.770423889160156,4442.99165725708,3505.7980346679688
281,281,78.25578689575195,38.320045471191406,4937.500104904175,4364.963264465332
282,282,81.38351440429688,34.505958557128906,4902.920637130737,4114.476699829102
283,283,80.98800659179688,33.765220642089844,4826.193866729736,3998.726921081543
284,284,81.64644241333008,25.91989517211914,4561.544523239136,3426.7524909973145
285,285,79.69548225402832,33.406639099121094,4906.834030151367,4140.778465270996
286,286,78.99015426635742,28.866119384765625,4733.961238861084,3862.376174926758
287,287,67.00226783752441,33.742713928222656,4252.2821617126465,3300.632438659668
288,288,61.98446273803711,21.860694885253906,3671.575183868408,2463.633613586426
289,289,75.70080757141113,34.986000061035156,4686.784543991089,3928.3726119995117
290,290,75.03247261047363,35.99754333496094,4688.5344314575195,3993.524856567383
291,291,67.11590766906738,34.04582977294922,4249.980268478394,3338.332176208496
